"","tag","rho","user.time"
"1","R",0.1,3.18600000000004
"2","R",0.1,3.21100000000001
"3","R",0.1,3.23000000000002
"4","R",0.1,3.23200000000008
"5","R",0.1,3.245
"6","R",0.1,3.19500000000005
"7","R",0.1,3.21400000000006
"8","R",0.1,3.25599999999997
"9","R",0.1,3.27800000000002
"10","R",0.1,3.23300000000006
"11","R",0.1,3.18000000000006
"12","R",0.1,3.19499999999994
"13","R",0.1,3.21499999999992
"14","R",0.1,3.2940000000001
"15","R",0.1,3.25900000000001
"16","R",0.1,3.17900000000009
"17","R",0.1,3.18499999999995
"18","R",0.1,3.23700000000008
"19","R",0.1,3.26999999999998
"20","R",0.1,3.27699999999993
"21","R",0.2,6.52100000000007
"22","R",0.2,6.51900000000001
"23","R",0.2,6.42700000000002
"24","R",0.2,6.43799999999999
"25","R",0.2,6.48400000000004
"26","R",0.2,6.38900000000001
"27","R",0.2,6.43200000000002
"28","R",0.2,6.50900000000001
"29","R",0.2,6.375
"30","R",0.2,6.47699999999998
"31","R",0.2,6.39100000000008
"32","R",0.2,6.38599999999997
"33","R",0.2,6.48700000000008
"34","R",0.2,6.45700000000011
"35","R",0.2,6.41800000000012
"36","R",0.2,6.47600000000011
"37","R",0.2,6.55099999999993
"38","R",0.2,7.26300000000015
"39","R",0.2,6.80099999999993
"40","R",0.2,6.51199999999994
"41","R",0.3,8.55799999999999
"42","R",0.3,8.64700000000016
"43","R",0.3,8.52499999999986
"44","R",0.3,8.51800000000003
"45","R",0.3,8.31099999999992
"46","R",0.3,8.52300000000014
"47","R",0.3,8.57099999999991
"48","R",0.3,8.7679999999998
"49","R",0.3,8.60099999999989
"50","R",0.3,8.53999999999996
"51","R",0.3,8.67899999999986
"52","R",0.3,8.68000000000006
"53","R",0.3,8.66099999999983
"54","R",0.3,8.64100000000008
"55","R",0.3,8.61999999999989
"56","R",0.3,8.65800000000013
"57","R",0.3,8.79600000000005
"58","R",0.3,9.03500000000008
"59","R",0.3,8.69399999999996
"60","R",0.3,8.66699999999992
"61","R",0.4,9.98000000000002
"62","R",0.4,3.67699999999991
"63","R",0.4,2.48900000000003
"64","R",0.4,9.6110000000001
"65","R",0.4,1.64400000000001
"66","R",0.4,1.76400000000012
"67","R",0.4,1.47300000000018
"68","R",0.4,1.25800000000004
"69","R",0.4,1.49800000000005
"70","R",0.4,1.47799999999984
"71","R",0.4,9.65100000000007
"72","R",0.4,2.20399999999995
"73","R",0.4,9.6840000000002
"74","R",0.4,2.11000000000013
"75","R",0.4,9.00599999999986
"76","R",0.4,8.95499999999993
"77","R",0.4,3.32500000000005
"78","R",0.4,9.66499999999996
"79","R",0.4,2.56899999999996
"80","R",0.4,1.80700000000002
"81","R",0.5,1.28999999999996
"82","R",0.5,1.56899999999996
"83","R",0.5,1.24199999999996
"84","R",0.5,1.14099999999985
"85","R",0.5,1.57199999999989
"86","R",0.5,1.7510000000002
"87","R",0.5,2.16600000000017
"88","R",0.5,1.39200000000005
"89","R",0.5,1.42599999999993
"90","R",0.5,1.50399999999991
"91","R",0.5,1.721
"92","R",0.5,1.58199999999988
"93","R",0.5,1.71699999999987
"94","R",0.5,1.44800000000009
"95","R",0.5,1.58600000000001
"96","R",0.5,8.50400000000013
"97","R",0.5,1.32200000000012
"98","R",0.5,8.11899999999991
"99","R",0.5,1.67599999999993
"100","R",0.5,1.0630000000001
"101","R",0.6,1.16099999999983
"102","R",0.6,0.828999999999951
"103","R",0.6,0.901000000000067
"104","R",0.6,1.22900000000004
