"","tag","rho","N","user.time","sd","se","ci"
"1","C++v1",0.1,20,0.380500000000012,0.00428583959717094,0.000958342867993453,0.00200583467508094
"2","C++v1",0.2,20,0.736449999999996,0.00878081041699103,0.00196344889899302,0.0041095457751939
"3","C++v1",0.3,20,1.13390000000002,0.0777661135782013,0.0173890316306828,0.0363956614858859
"4","C++v1",0.4,20,1.04974999999997,0.79209149358555,0.177117042405663,0.370710230200709
"5","C++v1",0.5,20,0.538000000000022,0.486552101391435,0.108796357330662,0.227713392925077
"6","C++v1",0.6,20,0.261650000000009,0.052318131102938,0.0116986897601915,0.0244856390731411
"7","C++v1",0.7,20,0.134799999999996,0.0201927553449614,0.00451523736043559,0.00945050040675476
"8","C++v2",0.1,20,2.06725,0.0231786539729796,0.0051829045910528,0.0108479439807768
"9","C++v2",0.2,20,4.039,0.106603544919843,0.0238372773083221,0.0498919947979196
"10","C++v2",0.3,20,5.4258,0.0750702127485203,0.0167862098791063,0.0351339410593158
"11","C++v2",0.4,20,2.88680000000002,2.30265084310736,0.514888381363526,1.07767376752922
"12","C++v2",0.5,20,1.35004999999998,1.27247862043872,0.284534869521613,0.595538326226666
"13","C++v2",0.6,20,0.626400000000012,0.140545703373807,0.0314269746689354,0.0657774139393623
"14","C++v2",0.7,20,0.30179999999998,0.0612815761787177,0.0137029770103945,0.0286806604997596
"15","R",0.1,20,3.22855000000002,0.0357807284206959,0.00800081410331347,0.0167458963730843
"16","R",0.2,20,6.51565000000003,0.19844428490267,0.0443734910788705,0.0928747842061485
"17","R",0.3,20,8.63464999999998,0.140899096033873,0.031505995670001,0.0659428067953962
"18","R",0.4,20,4.69240000000002,3.67906111306733,0.822663074219458,1.72185360301481
"19","R",0.5,20,2.18955,2.10884327173379,0.471551690948983,0.986969032053133
"20","R",0.6,20,1.03264999999998,0.230473031873677,0.0515353366250018,0.107864699208158
"21","R",0.7,20,0.494700000000023,0.0863207604473624,0.0193019088229777,0.0403993594624884
