"","tag","rho","user.time"
"1","R",0.1,46.9690000000001
"2","R",0.1,45.7330000000002
"3","R",0.1,43.8219999999992
"4","R",0.1,44.6689999999999
"5","R",0.1,43.4069999999992
"6","R",0.1,43.0999999999995
"7","R",0.1,42.8530000000001
"8","R",0.1,42.9089999999997
"9","R",0.1,42.8680000000004
"10","R",0.1,42.8400000000001
"11","R",0.1,42.8539999999994
"12","R",0.1,43.0410000000002
"13","R",0.1,43.5120000000006
"14","R",0.1,43.4000000000005
"15","R",0.1,42.6000000000004
"16","R",0.1,42.616
"17","R",0.1,43.3800000000001
"18","R",0.1,43.433
"19","R",0.1,43.2950000000001
"20","R",0.1,43.1980000000003
"21","R",0.2,85.5349999999999
"22","R",0.2,86.3199999999997
"23","R",0.2,85.2420000000002
"24","R",0.2,87.6729999999998
"25","R",0.2,87.3060000000005
"26","R",0.2,85.9059999999999
"27","R",0.2,86.009
"28","R",0.2,86.9830000000002
"29","R",0.2,86.9830000000002
"30","R",0.2,85.8420000000006
"31","R",0.2,86.219000000001
"32","R",0.2,86.2780000000002
"33","R",0.2,86.4290000000001
"34","R",0.2,87.4920000000002
"35","R",0.2,86.7470000000012
"36","R",0.2,86.3060000000005
"37","R",0.2,86.7600000000002
"38","R",0.2,85.6810000000005
"39","R",0.2,86.5520000000015
"40","R",0.2,86.405999999999
"41","R",0.3,115.204
"42","R",0.3,113.085000000001
"43","R",0.3,118.817999999999
"44","R",0.3,127.267
"45","R",0.3,124.766000000001
"46","R",0.3,125.290999999999
"47","R",0.3,126.233999999999
"48","R",0.3,114.632
"49","R",0.3,126.112999999999
"50","R",0.3,126.448
"51","R",0.3,126.535
"52","R",0.3,128.196
"53","R",0.3,110.427000000001
"54","R",0.3,127.313999999998
"55","R",0.3,130.668
"56","R",0.3,130.468999999999
"57","R",0.3,126.776
"58","R",0.3,129.216
"59","R",0.3,131.618
"60","R",0.3,133.076999999999
"61","R",0.4,65.3420000000006
"62","R",0.4,104.218999999999
"63","R",0.4,67.1399999999994
"64","R",0.4,82.4089999999997
"65","R",0.4,129.681
"66","R",0.4,126.656999999999
"67","R",0.4,75.4639999999999
"68","R",0.4,85.9509999999991
"69","R",0.4,58.3760000000002
"70","R",0.4,171.195
