"","tag","rho","N","user.time","sd","se","ci"
"1","C++v1",0.1,20,1.54705,0.0588356095180927,0.0131560422380089,0.0275359128649643
"2","C++v1",0.2,20,2.95289999999995,0.0568468857639639,0.0127113500877388,0.0266051614976425
"3","C++v1",0.3,20,4.54240000000002,0.0899107159469975,0.0201046472763161,0.0420795103547241
"4","C++v1",0.4,20,4.71329999999998,2.04702235865703,0.457728114541908,0.958035954115176
"5","C++v1",0.5,20,2.63460000000005,0.644024468315877,0.144008249032746,0.30141272925876
"6","C++v1",0.6,20,1.40960000000014,0.381278375993086,0.0852564367071265,0.178443772821155
"7","C++v1",0.7,20,0.495550000000003,0.08972383066639,0.0200628584571728,0.0419920453510519
"8","C++v2",0.1,20,7.0531,0.253057284964652,0.0565853291382496,0.118434455012968
"9","C++v2",0.2,20,13.62555,0.300439410653301,0.0671802945340755,0.140609972442055
"10","C++v2",0.3,20,20.4814,0.779859191068944,0.174381816410816,0.364985336399251
"11","C++v2",0.4,20,11.8398,5.44132416740047,1.21671707259199,2.54661810034429
"12","C++v2",0.5,20,6.48574999999996,1.61114199037764,0.360262301188871,0.754037662284799
"13","C++v2",0.6,20,3.50664999999994,0.974683445237847,0.217945844009552,0.456165894070313
"14","C++v2",0.7,20,1.20705000000003,0.218770842616048,0.0489186475584392,0.102387906048936
"15","R",0.1,20,11.40145,0.441584405116533,0.0987412747644375,0.206667863244908
"16","R",0.2,20,22.1594,0.325488200125683,0.0727813741355083,0.15233316677851
"17","R",0.3,20,33.8233,1.16482937987096,0.26046376755804,0.545156930800791
"18","R",0.4,20,19.3388500000001,8.75061534843784,1.956697076406,4.09541404810817
"19","R",0.5,20,10.76065,2.69605876624613,0.602857067266057,1.26179434315791
"20","R",0.6,20,5.92240000000015,1.63156774461339,0.364829638685156,0.763597209529124
"21","R",0.7,20,2.10565000000001,0.394364148445202,0.0881825043812288,0.184568102847878
