"","tag","rho","N","user.time","sd","se","ci"
"1","C++v1",0.1,20,6.17379999999994,0.152926401286813,0.0341953828831726,0.0715717589241824
"2","C++v1",0.2,20,12.3286999999999,0.313714436021567,0.0701486804467232,0.146822875559993
"3","C++v1",0.3,20,20.7137,2.05874548157224,0.460349484516606,0.963522544527721
"4","C++v1",0.4,20,29.82775,11.45795343568,2.56207627652077,5.36248727598684
"5","C++v1",0.5,20,21.4790999999992,4.98141977119412,1.11387932328515,2.33137621734387
"6","C++v1",0.6,20,8.89835000000021,2.6515392406564,0.592902198711588,1.24095856381493
"7","C++v1",0.7,20,2.25135000000027,0.350426698544081,0.0783577919075392,0.1640047433128
"8","C++v2",0.1,20,28.3047,0.756938021519027,0.169256487087074,0.354257898837896
"9","C++v2",0.2,20,56.6765,0.47531911718117,0.106284585702228,0.222456194487586
"10","C++v2",0.3,20,82.5155499999999,4.34145904985644,0.970779755701064,2.03186538021495
"11","C++v2",0.4,20,65.38305,22.2074428241262,4.96573517611862,10.3934031714378
"12","C++v2",0.5,20,49.5733000000002,12.6771685411634,2.83470106202631,5.93309750987785
"13","C++v2",0.6,20,23.5312500000005,7.05663077407252,1.57791061029431,3.30260486305209
"14","C++v2",0.7,20,5.89665000000023,0.929072048364275,0.207746825613749,0.434819103236545
"15","R",0.1,20,43.52495,1.09138547751302,0.244041211737519,0.510784126433578
"16","R",0.2,20,86.4334500000003,0.64655080599815,0.144573155311914,0.302595091689545
"17","R",0.3,20,124.6077,6.54136149597686,1.4626928970404,3.06145141771773
"18","R",0.4,20,103.84595,32.3735018762906,7.23893508651028,15.1512652643663
"19","R",0.5,20,77.0142000000003,18.2883031344312,4.08938890017106,8.55918933588837
"20","R",0.6,20,36.2212500000005,10.9103519065005,2.43962885213795,5.10620187135327
"21","R",0.7,20,9.12985000000008,1.44442238592021,0.322982664314002,0.67601048556609
